Date,Contexto Puzzle,Contexto Answer
8-Sep-24,721,MINIATURE
7-Sep-24,720,MAGIC
6-Sep-24,719,VINTAGE
5-Sep-24,718,LADYBUG
4-Sep-24,717,PITCHER
3-Sep-24,716,HIPPO
2-Sep-24,715,CHIEF
1-Sep-24,714,DAWN
31-Aug-24,713,NOVEL
30-Aug-24,712,BATH
29-Aug-24,711,HERITAGE
28-Aug-24,710,CRAFT
27-Aug-24,709,JOKE
26-Aug-24,708,LADDER
25-Aug-24,707,MISTAKE
24-Aug-24,706,FAME
23-Aug-24,705,SQUID
22-Aug-24,704,SIGNATURE
21-Aug-24,703,PORT
20-Aug-24,702,SHEPHERD
19-Aug-24,701,ECONOMICS
18-Aug-24,700,CABINET
17-Aug-24,699,JAZZ
16-Aug-24,698,SONG
15-Aug-24,697,GADGET
14-Aug-24,696,BERRY
13-Aug-24,695,WEATHER
12-Aug-24,694,SCREEN
11-Aug-24,693,BUBBLE
10-Aug-24,692,SMOOTHIE
9-Aug-24,691,TENNIS
8-Aug-24,690,EVENT
7-Aug-24,689,CORNER
6-Aug-24,688,MESSAGE
5-Aug-24,687,ARTISAN
4-Aug-24,686,FORTUNE
3-Aug-24,685,STOVE
2-Aug-24,684,THEORY
1-Aug-24,683,AUDIENCE
31-Jul-24,682,PEA
30-Jul-24,681,GRADE
29-Jul-24,680,HOOF
28-Jul-24,679,GRAIN
27-Jul-24,678,MASK
26-Jul-24,677,COMPLEXION
25-Jul-24,676,HEEL
24-Jul-24,675,LILAC
23-Jul-24,674,TACO
22-Jul-24,673,TENDON
21-Jul-24,672,STORE
20-Jul-24,671,SOCKET
19-Jul-24,670,TOMATO
18-Jul-24,669,ROUTE
17-Jul-24,668,WAY
16-Jul-24,667,DIVE
15-Jul-24,666,SHOUT
14-Jul-24,665,MEETING
13-Jul-24,664,TICK
12-Jul-24,663,KUDO
11-Jul-24,662,SHELLFISH
10-Jul-24,661,TECHNICIAN
9-Jul-24,660,TURF
8-Jul-24,659,QUEST
7-Jul-24,658,EDUCATION
6-Jul-24,657,SERVICE
5-Jul-24,656,BREEZE
4-Jul-24,655,BEIGE
3-Jul-24,654,TEAM
2-Jul-24,653,PIZZA
1-Jul-24,652,TRANSACTION
30-Jun-24,651,COURAGE
29-Jun-24,650,STRAW
28-Jun-24,649,AGENCY
27-Jun-24,648,FEEDBACK
26-Jun-24,647,TRAINER
25-Jun-24,646,MANAGER
24-Jun-24,645,OPINION
23-Jun-24,644,WINNER
22-Jun-24,643,GRATITUDE
21-Jun-24,642,PENNY
20-Jun-24,641,GRAVEL
19-Jun-24,640,COUNTY
18-Jun-24,639,ONION
17-Jun-24,638,WISDOM
16-Jun-24,637,RECIPE
15-Jun-24,636,STUDIO
14-Jun-24,635,ADVICE
13-Jun-24,634,CUSTOMER
12-Jun-24,633,HOMEWORK
11-Jun-24,632,TELEVISION
10-Jun-24,631,TOWN
9-Jun-24,630,SUPERMARKET
8-Jun-24,629,PRESIDENT
7-Jun-24,628,FOOD
6-Jun-24,627,PAINTING
5-Jun-24,626,CONTEXT
4-Jun-24,625,TALE
3-Jun-24,624,CONVERSATION
2-Jun-24,623,FENCE
1-Jun-24,622,KINGDOM
31-May-24,621,HAT
30-May-24,620,CASHIER
29-May-24,619,BASS
28-May-24,618,PRODUCT
27-May-24,617,MUD
26-May-24,616,GRAVY
25-May-24,615,HAMSTER
24-May-24,614,HISTORIAN
23-May-24,613,STEAK
22-May-24,612,POETRY
21-May-24,611,CLIMATE
20-May-24,610,PROFESSOR
19-May-24,609,PASSENGER
18-May-24,608,SPANISH
17-May-24,607,PLUMBER
16-May-24,606,PEACH
15-May-24,605,LIZARD
14-May-24,604,TECHNOLOGY
13-May-24,603,HEARTH
12-May-24,602,MEAL
11-May-24,601,ASTRONOMY
10-May-24,600,LAMB
9-May-24,599,DEPARTURE
8-May-24,598,DATA
7-May-24,597,AGREEMENT
6-May-24,596,CONNECTION
5-May-24,595,BREATH
4-May-24,594,KNOWLEDGE
3-May-24,593,HERD
2-May-24,592,LEAGUE
1-May-24,591,JAM
30-Apr-24,590,COMET
29-Apr-24,589,OFFICE
28-Apr-24,588,MATTRESS
27-Apr-24,587,ENGLISH
26-Apr-24,586,BACON
25-Apr-24,585,FEAR
24-Apr-24,584,PHRASE
23-Apr-24,583,MARKETING
22-Apr-24,582,LEADER
21-Apr-24,581,SHEEP
20-Apr-24,580,RUGBY
19-Apr-24,579,SANDWICH
18-Apr-24,578,CANDY
17-Apr-24,577,DOCK
16-Apr-24,576,STICKER
15-Apr-24,575,SPHINX
14-Apr-24,574,QUESTION
13-Apr-24,573,STATION
12-Apr-24,572,AFTERNOON
11-Apr-24,571,BOWL
10-Apr-24,570,ADVENTURE
9-Apr-24,569,FLIGHT
8-Apr-24,568,WHALE
7-Apr-24,567,CRAB
6-Apr-24,566,CAFE
5-Apr-24,565,CARDIO
4-Apr-24,564,THEATER
3-Apr-24,563,EARTH
2-Apr-24,562,RAIL
1-Apr-24,561,CAPTAIN
31-Mar-24,560,WEIGHT
30-Mar-24,559,JOB
29-Mar-24,558,MOVEMENT
28-Mar-24,557,SKIN
27-Mar-24,556,DEBT
26-Mar-24,555,SENTENCE
25-Mar-24,554,FEATHER
24-Mar-24,553,PATH
23-Mar-24,552,NETWORK
22-Mar-24,551,BALCONY
21-Mar-24,550,POLL
20-Mar-24,549,COURSE
19-Mar-24,548,HOUR
18-Mar-24,547,GOVERNMENT
17-Mar-24,546,ACCOUNT
16-Mar-24,545,FAIR
15-Mar-24,544,SURGERY
14-Mar-24,543,PRICE
13-Mar-24,542,ARTIST
12-Mar-24,541,FUNGUS
11-Mar-24,540,DRUM
10-Mar-24,539,SANDAL
9-Mar-24,538,OREGANO
8-Mar-24,537,CURRENCY
7-Mar-24,536,SCREAM
6-Mar-24,535,LOTTERY
5-Mar-24,534,AIRPLANE
4-Mar-24,533,MARRIAGE
3-Mar-24,532,LEMONADE
2-Mar-24,531,ROCK
1-Mar-24,530,ENTRANCE
29-Feb-24,529,INFINITY
28-Feb-24,528,ZODIAC
27-Feb-24,527,WHISTLE
26-Feb-24,526,MEDICINE
25-Feb-24,525,WALL
24-Feb-24,524,TRAIL
23-Feb-24,523,RECTANGLE
22-Feb-24,522,FINGER
21-Feb-24,521,FARMER
20-Feb-24,520,FORK
19-Feb-24,519,FEMUR
18-Feb-24,518,MEDAL
17-Feb-24,517,WINTER
16-Feb-24,516,PHONE
15-Feb-24,515,MUG
14-Feb-24,514,BEEF
13-Feb-24,513,PLANT
12-Feb-24,512,POEM
11-Feb-24,511,NEWS
10-Feb-24,510,THRONE
9-Feb-24,509,SHELTER
8-Feb-24,508,APPOINTMENT
7-Feb-24,507,DEBATE
6-Feb-24,506,SALE
5-Feb-24,505,SON
4-Feb-24,504,GROUP
3-Feb-24,503,PROCESS
2-Feb-24,502,SHOP
1-Feb-24,501,STATE
31-Jan-24,500,CLAW
30-Jan-24,499,LUNCH
29-Jan-24,498,CANOE
28-Jan-24,497,EMAIL
27-Jan-24,496,AVOCADO
26-Jan-24,495,LIVER
25-Jan-24,494,HARMONY
24-Jan-24,493,THOUGHT
23-Jan-24,492,CREW
22-Jan-24,491,CHAMPIONSHIP
21-Jan-24,490,TORCH
20-Jan-24,489,STATUE
19-Jan-24,488,CELEBRATION
18-Jan-24,487,KOALA
17-Jan-24,486,HEADSET
16-Jan-24,485,KINDNESS
15-Jan-24,484,PIPE
14-Jan-24,483,CHOCOLATE
13-Jan-24,482,MALL
12-Jan-24,481,COMIC
11-Jan-24,480,WHEAT
10-Jan-24,479,FEE
9-Jan-24,478,DANCE
8-Jan-24,477,MEMORY
7-Jan-24,476,WEEK
6-Jan-24,475,LOBBY
5-Jan-24,474,COLLEGE
4-Jan-24,473,ANGER
3-Jan-24,472,BASKETBALL
2-Jan-24,471,CLIENT
1-Jan-24,470,SUMMER
31-Dec-23,469,WRINKLE
30-Dec-23,468,HELMET
29-Dec-23,467,DRAWING
28-Dec-23,466,FASHION
27-Dec-23,465,PLAYER
26-Dec-23,464,BEVERAGE
25-Dec-23,463,PROM
24-Dec-23,462,LAW
23-Dec-23,461,BIRTHDAY
22-Dec-23,460,SNACK
21-Dec-23,459,RABBIT
20-Dec-23,458,MILK
19-Dec-23,457,HOLIDAY
18-Dec-23,456,INK
17-Dec-23,455,BALL
16-Dec-23,454,SCISSORS
15-Dec-23,453,SPORT
14-Dec-23,452,COAT
13-Dec-23,451,POCKET
12-Dec-23,450,GOLD
11-Dec-23,449,CHALK
10-Dec-23,448,NAIL
9-Dec-23,447,GLUE
8-Dec-23,446,BEARD
7-Dec-23,445,PENCIL
6-Dec-23,444,EMERALD
5-Dec-23,443,COURT
4-Dec-23,442,SILVER
3-Dec-23,441,JEWEL
2-Dec-23,440,WOLF
1-Dec-23,439,ROYAL
30-Nov-23,438,GLITTER
29-Nov-23,437,PIG
28-Nov-23,436,SHARPIE
27-Nov-23,435,BOTTLE
26-Nov-23,434,CAT
25-Nov-23,433,SCAR
24-Nov-23,432,EYELASH
23-Nov-23,431,BEAR
22-Nov-23,430,SHAMPOO
21-Nov-23,429,BEACH
20-Nov-23,428,PAW
19-Nov-23,427,DINNER
18-Nov-23,426,PADDLE
17-Nov-23,425,ADDRESS
16-Nov-23,424,GRAPEFRUIT
15-Nov-23,423,KIDNEY
14-Nov-23,422,CHORUS
13-Nov-23,421,MIND
12-Nov-23,420,YACHT
11-Nov-23,419,MARATHON
10-Nov-23,418,LANTERN
9-Nov-23,417,CONSTITUTION
8-Nov-23,416,FESTIVAL
7-Nov-23,415,KANGAROO
6-Nov-23,414,SMARTPHONE
5-Nov-23,413,COMPASSION
4-Nov-23,412,COPPER
3-Nov-23,411,GIFT
2-Nov-23,410,AVENUE
1-Nov-23,409,MAGAZINE
31-Oct-23,408,CORN
30-Oct-23,407,PAYMENT
29-Oct-23,406,MUSICAL
28-Oct-23,405,BATTERY
27-Oct-23,404,MONTH
26-Oct-23,403,HALL
25-Oct-23,402,CAMPUS
24-Oct-23,401,EMOTION
23-Oct-23,400,HOCKEY
22-Oct-23,399,PRINCE
21-Oct-23,398,SUCCESS
20-Oct-23,397,PATIENT
19-Oct-23,396,ACADEMY
18-Oct-23,395,HELICOPTER
17-Oct-23,394,REFRIGERATOR
16-Oct-23,393,DISH
15-Oct-23,392,PUPPY
14-Oct-23,391,DOLLAR
13-Oct-23,390,HOUSE
12-Oct-23,389,MOUTH
11-Oct-23,388,CHEDDAR
10-Oct-23,387,STORM
9-Oct-23,386,WIRE
8-Oct-23,385,TAX
7-Oct-23,384,JACKET
6-Oct-23,383,VANILLA
5-Oct-23,382,ORCHESTRA
4-Oct-23,381,APPLIANCE
3-Oct-23,380,FABRIC
2-Oct-23,379,CINNAMON
1-Oct-23,378,MELODY
30-Sep-23,377,SOFA
29-Sep-23,376,TRAVEL
28-Sep-23,375,GROCERY
27-Sep-23,374,CURTAIN
26-Sep-23,373,WHEEL
25-Sep-23,372,BOW
24-Sep-23,371,SWEET
23-Sep-23,370,CARPET
22-Sep-23,369,INDUSTRY
21-Sep-23,368,LAWN
20-Sep-23,367,STEEL
19-Sep-23,366,DIAPER
18-Sep-23,365,VILLAGE
17-Sep-23,364,ARTICLE
16-Sep-23,363,SPINACH
15-Sep-23,362,SIBLING
14-Sep-23,361,PROFIT
13-Sep-23,360,CELLO
12-Sep-23,359,PROTEIN
11-Sep-23,358,EVENING
10-Sep-23,357,COMMUNITY
9-Sep-23,356,CLOTHES
8-Sep-23,355,TABLE
7-Sep-23,354,STONE
6-Sep-23,353,SQUARE
5-Sep-23,352,SKY
4-Sep-23,351,GEOGRAPHY
3-Sep-23,350,GATE
2-Sep-23,349,PET
1-Sep-23,348,SCARECROW
31-Aug-23,347,BACTERIA
30-Aug-23,346,ROOM
29-Aug-23,345,PILOT
28-Aug-23,344,CAMERA
27-Aug-23,343,RICE
26-Aug-23,342,BLANKET
25-Aug-23,341,HAMMER
24-Aug-23,340,ARCHITECT
23-Aug-23,339,JOY
22-Aug-23,338,FREEDOM
21-Aug-23,337,MUSEUM
20-Aug-23,336,WALLET
19-Aug-23,335,SALMON
18-Aug-23,334,LAPTOP
17-Aug-23,333,GIRAFFE
16-Aug-23,332,IRON
15-Aug-23,331,LEMON
14-Aug-23,330,SILK
13-Aug-23,329,MUSIC
12-Aug-23,328,HIGHWAY
11-Aug-23,327,MAP
10-Aug-23,326,PAN
9-Aug-23,325,FRIENDSHIP
8-Aug-23,324,STRING
7-Aug-23,323,SOCIETY
6-Aug-23,322,WARDROBE
5-Aug-23,321,WINE
4-Aug-23,320,WAFFLE
3-Aug-23,319,FLUTE
2-Aug-23,318,SUITCASE
1-Aug-23,317,HONEY
31-Jul-23,316,BRICK
30-Jul-23,315,LEAF
29-Jul-23,314,CASTLE
28-Jul-23,313,DUCK
27-Jul-23,312,ISLAND
26-Jul-23,311,PINEAPPLE
25-Jul-23,310,DRAWER
24-Jul-23,309,OLIVE
23-Jul-23,308,MAILBOX
22-Jul-23,307,NOSE
21-Jul-23,306,TOURIST
20-Jul-23,305,YOGURT
19-Jul-23,304,TOOTH
18-Jul-23,303,CHURCH
17-Jul-23,302,WIG
16-Jul-23,301,CIRCLE
15-Jul-23,300,COOKIE
14-Jul-23,299,VOLCANO
13-Jul-23,298,SAILOR
12-Jul-23,297,PERFUME
11-Jul-23,296,KETTLE
10-Jul-23,295,LIGHT
9-Jul-23,294,PARROT
8-Jul-23,293,ROBOT
7-Jul-23,292,CLOUD
6-Jul-23,291,SHOE
5-Jul-23,290,DOOR
4-Jul-23,289,BASKET
3-Jul-23,288,PROGRAMMER
2-Jul-23,287,NECKLACE
1-Jul-23,286,PAINTBRUSH
30-Jun-23,285,TREE
29-Jun-23,284,CANDLE
28-Jun-23,283,MICROPHONE
27-Jun-23,282,SCIENCE
26-Jun-23,281,SOCK
25-Jun-23,280,TOOTHBRUSH
24-Jun-23,279,PROMOTION
23-Jun-23,278,PILLOW
22-Jun-23,277,CELLPHONE
21-Jun-23,276,BACKPACK
20-Jun-23,275,TRAIN
19-Jun-23,274,PHOTO
18-Jun-23,273,RAINBOW
17-Jun-23,272,DOLPHIN
16-Jun-23,271,FOREST
15-Jun-23,270,KEYBOARD
14-Jun-23,269,HAPPINESS
13-Jun-23,268,ELEPHANT
12-Jun-23,267,DENTIST
11-Jun-23,266,DISHWASHER
10-Jun-23,265,GOAT
9-Jun-23,264,SYSTEM
8-Jun-23,263,ELEVATOR
7-Jun-23,262,ART
6-Jun-23,261,STADIUM
5-Jun-23,260,TOILET
4-Jun-23,259,BATHROOM
3-Jun-23,258,MATH
2-Jun-23,257,SOUP
1-Jun-23,256,GRAMMAR
31-May-23,255,PLASTIC
30-May-23,254,DEER
29-May-23,253,HALLWAY
28-May-23,252,CAFETERIA
27-May-23,251,ANIMAL
26-May-23,250,OCEAN
25-May-23,249,TRASH
24-May-23,248,RIVER
23-May-23,247,GALAXY
22-May-23,246,BRUSH
21-May-23,245,FLOWER
20-May-23,244,SOAP
19-May-23,243,GAS
18-May-23,242,VALENTINE
17-May-23,241,MOLECULE
16-May-23,240,FRIES
15-May-23,239,CAKE
14-May-23,238,GAME
13-May-23,237,CONTINENT
12-May-23,236,ENERGY
11-May-23,235,SALON
10-May-23,234,FISH
9-May-23,233,CHART
8-May-23,232,MASSAGE
7-May-23,231,SLEEP
6-May-23,230,STAR
5-May-23,229,DESIGN
4-May-23,228,ICEBERG
3-May-23,227,RESEARCH
2-May-23,226,ASTEROID
1-May-23,225,DESK
30-Apr-23,224,BED
29-Apr-23,223,LANGUAGE
28-Apr-23,222,SAUSAGE
27-Apr-23,221,FEELING
26-Apr-23,220,WORD
25-Apr-23,219,INNOVATION
24-Apr-23,218,POSTCARD
23-Apr-23,217,COW
22-Apr-23,216,FOOTBALL
21-Apr-23,215,SALAD
20-Apr-23,214,JELLY
19-Apr-23,213,SPEAKER
18-Apr-23,212,SHIP
17-Apr-23,211,STAMP
16-Apr-23,210,PYRAMID
15-Apr-23,209,INTERVIEW
14-Apr-23,208,METRO
13-Apr-23,207,SUN
12-Apr-23,206,SPOON
11-Apr-23,205,TRAILER
10-Apr-23,204,AIRPORT
9-Apr-23,203,SHARK
8-Apr-23,202,OCTOPUS
7-Apr-23,201,RESTAURANT
6-Apr-23,200,WORKOUT
5-Apr-23,199,OPERA
4-Apr-23,198,ASTRONAUT
3-Apr-23,197,TUNNEL
2-Apr-23,196,PIRATE
1-Apr-23,195,BRIDGE
31-Mar-23,194,STOCK
30-Mar-23,193,RING
29-Mar-23,192,DOCUMENTARY
28-Mar-23,191,STORY
27-Mar-23,190,LETTER
26-Mar-23,189,PUMPKIN
25-Mar-23,188,EGG
24-Mar-23,187,MAGNET
23-Mar-23,186,GUITAR
22-Mar-23,185,GYM
21-Mar-23,184,COMEDY
20-Mar-23,183,SPIDER
19-Mar-23,182,MERMAID
18-Mar-23,181,COFFEE
17-Mar-23,180,TREASURE
16-Mar-23,179,SYMPHONY
15-Mar-23,178,PASTA
14-Mar-23,177,FACTORY
13-Mar-23,176,BAND
12-Mar-23,175,ERASER
11-Mar-23,174,MUSHROOM
10-Mar-23,173,STARFISH
9-Mar-23,172,PUZZLE
8-Mar-23,171,BUS
7-Mar-23,170,BUTTERFLY
6-Mar-23,169,FLAG
5-Mar-23,168,TEMPERATURE
4-Mar-23,167,LOBSTER
3-Mar-23,166,PURSE
2-Mar-23,165,TELESCOPE
1-Mar-23,164,GRASS
28-Feb-23,163,STRAWBERRY
27-Feb-23,162,PLANET
26-Feb-23,161,HORSE
25-Feb-23,160,CALCULATOR
24-Feb-23,159,SHADOW
23-Feb-23,158,TRUCK
22-Feb-23,157,CEREAL
21-Feb-23,156,GRASSHOPPER
20-Feb-23,155,TIRE
19-Feb-23,154,MOON
18-Feb-23,153,MUSCLE
17-Feb-23,152,DRAMA
16-Feb-23,151,GARLIC
15-Feb-23,150,KNIFE
14-Feb-23,149,AWARD
13-Feb-23,148,RED
12-Feb-23,147,HOSPITAL
11-Feb-23,146,BOX
10-Feb-23,145,ECONOMY
9-Feb-23,144,CHALLENGE
8-Feb-23,143,NATURE
7-Feb-23,142,WATCH
6-Feb-23,141,HEART
5-Feb-23,140,EMPLOYEE
4-Feb-23,139,ZEBRA
3-Feb-23,138,FIREMAN
2-Feb-23,137,TOOTHPASTE
1-Feb-23,136,FROG
31-Jan-23,135,NEEDLE
30-Jan-23,134,FAIRY
29-Jan-23,133,ERROR
28-Jan-23,132,WAVE
27-Jan-23,131,DOCTOR
26-Jan-23,130,APPLE
25-Jan-23,129,MILKSHAKE
24-Jan-23,128,SCARF
23-Jan-23,127,ENGINE
22-Jan-23,126,TRIP
21-Jan-23,125,BUILDING
20-Jan-23,124,THROAT
19-Jan-23,123,CHEESE
18-Jan-23,122,SNOW
17-Jan-23,121,CABLE
16-Jan-23,120,INCOME
15-Jan-23,119,EAGLE
14-Jan-23,118,BOOK
13-Jan-23,117,MOUNTAIN
12-Jan-23,116,WATER
11-Jan-23,115,CABBAGE
10-Jan-23,114,HAND
9-Jan-23,113,LION
8-Jan-23,112,FRIEND
7-Jan-23,111,STOMACH
6-Jan-23,110,TIME
5-Jan-23,109,SINGER
4-Jan-23,108,CHILDHOOD
3-Jan-23,107,MENU
2-Jan-23,106,OIL
1-Jan-23,105,PORTRAIT
31-Dec-22,104,PARK
30-Dec-22,103,TEA
29-Dec-22,102,VIOLIN
28-Dec-22,101,MILITARY
27-Dec-22,100,CLASSROOM
26-Dec-22,99,TALENT
25-Dec-22,98,MARKET
24-Dec-22,97,DRINK
23-Dec-22,96,JUDGE
22-Dec-22,95,EXAM
21-Dec-22,94,RAIN
20-Dec-22,93,SHIRT
19-Dec-22,92,WINDOW
18-Dec-22,91,STUDENT
17-Dec-22,90,APP
16-Dec-22,89,DAY
15-Dec-22,88,KING
14-Dec-22,87,FLOOR
13-Dec-22,86,TRIANGLE
12-Dec-22,85,COACH
11-Dec-22,84,HEADPHONE
10-Dec-22,83,CHICKEN
9-Dec-22,82,MAIL
8-Dec-22,81,BAKERY
7-Dec-22,80,ORANGE
6-Dec-22,79,BRAIN
5-Dec-22,78,CHOIR
4-Dec-22,77,DREAM
3-Dec-22,76,BOAT
2-Dec-22,75,LAMP
1-Dec-22,74,PRAYER
30-Nov-22,73,COMMA
29-Nov-22,72,BABY
28-Nov-22,71,CHAIR
27-Nov-22,70,IMAGINATION
26-Nov-22,69,ANSWER
25-Nov-22,68,BEDROOM
24-Nov-22,67,SEA
23-Nov-22,66,IMAGE
22-Nov-22,65,JUSTICE
21-Nov-22,64,NORTH
20-Nov-22,63,IDEA
19-Nov-22,62,MONEY
18-Nov-22,61,TEXT
17-Nov-22,60,TROPHY
16-Nov-22,59,COMPANY
15-Nov-22,58,MOVIE
14-Nov-22,57,SCHOOL
13-Nov-22,56,LUCK
12-Nov-22,55,HOTEL
11-Nov-22,54,SPACE
10-Nov-22,53,CHRISTMAS
9-Nov-22,52,VIDEO
8-Nov-22,51,COUNTRY
7-Nov-22,50,HEALTH
6-Nov-22,49,MIRROR
5-Nov-22,48,KITCHEN
4-Nov-22,47,BUSINESS
3-Nov-22,46,GARDEN
2-Nov-22,45,FAMILY
1-Nov-22,44,METAL
31-Oct-22,43,BAG
30-Oct-22,42,STREET
29-Oct-22,41,NEWSPAPER
28-Oct-22,40,POTATO
27-Oct-22,39,SISTER
26-Oct-22,38,REVENUE
25-Oct-22,37,PIANO
24-Oct-22,36,CELL
23-Oct-22,35,NIGHT
22-Oct-22,34,LIBRARY
21-Oct-22,33,RELATIONSHIP
20-Oct-22,32,BASEBALL
19-Oct-22,31,QUEEN
18-Oct-22,30,HAIR
17-Oct-22,29,SODA
16-Oct-22,28,WEDDING
15-Oct-22,27,DIAMOND
14-Oct-22,26,PLATE
13-Oct-22,25,DOG
12-Oct-22,24,PEN
11-Oct-22,23,CITY
10-Oct-22,22,BEAUTIFUL
9-Oct-22,21,APARTMENT
8-Oct-22,20,HEAD
7-Oct-22,19,ROAD
6-Oct-22,18,TV
5-Oct-22,17,GLASS
4-Oct-22,16,HISTORY
3-Oct-22,15,WORK
2-Oct-22,14,CLOCK
1-Oct-22,13,BEE
30-Sep-22,12,CAR
29-Sep-22,11,UNIVERSITY
28-Sep-22,10,FUN
27-Sep-22,9,BIRD
26-Sep-22,8,MOUSE
25-Sep-22,7,BIKE
24-Sep-22,6,TEACHER
23-Sep-22,5,COMPUTER
22-Sep-22,4,MEAT
21-Sep-22,3,FARM
20-Sep-22,2,PAPER
19-Sep-22,1,NEIGHBORHOOD
18-Sep-22,0,BANANA
